# Input file name  = bc03/models/Geneva1994/chabrier/bc2003_hr_m64_chab_ssp.ised
# Output file name = spectra/original/model_template_hr.csv
# Record         136         153         161         169         177         185
# Column           2           3           4           5           6           7
# SED(Lo/A)       at          at          at          at          at          at    
# Lambda(A)  1.01519E+09 3.00000E+09 5.00000E+09 7.00000E+09 9.00000E+09 1.10000E+10
3.600000E+03 9.68591E-05 2.84975E-05 1.53391E-05 1.10528E-05 8.32171E-06 6.57192E-06
3.601000E+03 9.33471E-05 2.72169E-05 1.44771E-05 1.03243E-05 7.72084E-06 6.08904E-06
3.602000E+03 8.87423E-05 2.52831E-05 1.33104E-05 9.47744E-06 7.06460E-06 5.55848E-06
3.603000E+03 8.49390E-05 2.36911E-05 1.23410E-05 8.68355E-06 6.39508E-06 4.98189E-06
3.604000E+03 8.38147E-05 2.30452E-05 1.19374E-05 8.35250E-06 6.11024E-06 4.73141E-06
3.605000E+03 8.51062E-05 2.32184E-05 1.19821E-05 8.33546E-06 6.05268E-06 4.65323E-06
3.606000E+03 8.76851E-05 2.35846E-05 1.20134E-05 8.28439E-06 5.97419E-06 4.58149E-06
3.607000E+03 8.71767E-05 2.31584E-05 1.16917E-05 7.99569E-06 5.71975E-06 4.36459E-06
3.608000E+03 8.45934E-05 2.21304E-05 1.10193E-05 7.41889E-06 5.24271E-06 3.97963E-06
3.609000E+03 8.23129E-05 2.15209E-05 1.07734E-05 7.30663E-06 5.19019E-06 3.94252E-06
3.610000E+03 8.26728E-05 2.19807E-05 1.11914E-05 7.68513E-06 5.50769E-06 4.19598E-06
3.611000E+03 8.45941E-05 2.33222E-05 1.21205E-05 8.46184E-06 6.17772E-06 4.77507E-06
3.612000E+03 8.50611E-05 2.38601E-05 1.25274E-05 8.83391E-06 6.50711E-06 5.05555E-06
3.613000E+03 8.51073E-05 2.42348E-05 1.28372E-05 9.11992E-06 6.77271E-06 5.29624E-06
3.614000E+03 8.75726E-05 2.50945E-05 1.33297E-05 9.51688E-06 7.10498E-06 5.57635E-06
3.615000E+03 9.15840E-05 2.61859E-05 1.39084E-05 9.94316E-06 7.41807E-06 5.80739E-06
3.616000E+03 9.31379E-05 2.61282E-05 1.36101E-05 9.52033E-06 6.99766E-06 5.46461E-06
