wavelengths 1 3 5 7 9 11
3000.46590521 5.723474359081785e-05 9.866056263416015e-06 4.683547322118697e-06 2.7252487653293878e-06 1.685940188394702e-06 1.122247858572398e-06
3000.96602453 5.941815528428104e-05 1.0656396072409561e-05 5.025483788969136e-06 2.890897761762951e-06 1.7614200409324793e-06 1.1535580343918333e-06
3001.46622722 5.710217063362417e-05 9.132139745466843e-06 4.054036033153769e-06 2.2447368241740424e-06 1.3265721063627334e-06 8.516734079084721e-07
3001.96651328 5.9023391246870256e-05 9.507788950533048e-06 4.178880007888039e-06 2.2823241772765474e-06 1.3242559975223111e-06 8.350478658170562e-07
3002.46688273 6.763809601077856e-05 1.2226593654871358e-05 5.626352242687017e-06 3.1551065035410305e-06 1.8680106415992672e-06 1.1925800208680398e-06
3002.96733558 5.991585728188797e-05 1.0562515640204664e-05 4.854238374689229e-06 2.736060484280601e-06 1.6366851812263893e-06 1.0603095547241536e-06
3003.46787184 4.7460432717349836e-05 7.649907862643304e-06 3.461368957737036e-06 1.9476854715919747e-06 1.1708186826666995e-06 7.678127365076059e-07
3003.96849154 5.265485264270495e-05 8.738384901136127e-06 3.9843335757052325e-06 2.2493901240233597e-06 1.3546833850677303e-06 8.882732951977575e-07
3004.46919468 5.577786176089897e-05 9.999210732560371e-06 4.767538527909905e-06 2.7845612732967152e-06 1.7332302022140982e-06 1.166550630326921e-06
3004.96998128 6.392025415631712e-05 1.3199777183710956e-05 6.866892831273991e-06 4.287343856158039e-06 2.8452341211788056e-06 2.015512499972998e-06
3005.47085134 7.837088173532864e-05 1.8201143003587373e-05 1.0032505002701848e-05 6.529513899525576e-06 4.5016000625366486e-06 3.2866430640019227e-06
3005.9718049 8.326054034268294e-05 1.9628012128802265e-05 1.0900288431711638e-05 7.135769527158998e-06 4.9469247306246535e-06 3.6282898688595078e-06
3006.47284195 8.182556503902368e-05 1.8187363336885132e-05 9.829065563252229e-06 6.318660337952031e-06 4.3130230530365915e-06 3.123966759743583e-06
3006.97396252 7.589649873267639e-05 1.532073595189213e-05 7.976284608070617e-06 5.001641798937704e-06 3.3401652773284272e-06 2.3779240835882978e-06
3007.47516661 6.72541177992996e-05 1.2331406633825371e-05 6.176586663611794e-06 3.762507865321051e-06 2.4411301830489993e-06 1.694196016781854e-06
3007.97645424 6.388855505425246e-05 1.1779821260119821e-05 5.737362247993863e-06 3.3892553495190152e-06 2.1221716907767544e-06 1.4239859399528193e-06
3008.47782543 6.533946930211494e-05 1.171564042871093e-05 5.42236628435211e-06 3.0626218663054837e-06 1.8311598118828332e-06 1.1827436638498229e-06
3008.97928019 6.255030837839867e-05 1.0469483697763692e-05 4.69848264961803e-06 2.6032734864301838e-06 1.5326751206712693e-06 9.808285405994863e-07
3009.48081853 6.192789906186989e-05 1.1034942660568508e-05 5.221634623868897e-06 3.0189134454309263e-06 1.8530315791467254e-06 1.2240622772520655e-06
3009.98244047 6.170233365712245e-05 1.132801955399617e-05 5.4587915018925785e-06 3.2000680837062667e-06 1.9904266362392043e-06 1.3279685484982454e-06
